Код;Коротка назва;Колір;Іконка;Детальний опис
10000000;Податкові надходження;;;Податкові надходження  
11000000;;;;Податки на доходи, податки на прибуток, податки на збільшення ринкової вартості  
11010000;;;;Податок на доходи фізичних осіб  
11010100;;;;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати
11010200;;;;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами
11010300;;;;Податок на доходи фізичних осіб із доходів у формі заробітної плати шахтарів-працівників
11010400;;;;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата
11010500;;;;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування
11010600;;;;Фіксований податок на доходи фізичних осіб від зайняття підприємницькою діяльністю, нарахований до 1 січня 2012 року
11010700;;;;Надходження сум реструктурованої заборгованості зі сплати податку на доходи фізичних осіб
11020000;Податок на прибуток підприємств;;;Податок на прибуток підприємств  
11020100;;;;Податок на прибуток підприємств і організацій, що перебувають у державній власності  
11020200;;;;Податок на прибуток підприємств та фінансових установ комунальної власності 
11020300;;;;Податок на прибуток підприємств, створених за участю іноземних інвесторів  
11020400;;;;Податок на прибуток від казино, відеосалонів, гральних автоматів, концертно-видовищних заходів  
11020500;;;;Податок на прибуток іноземних юридичних осіб  
11020600;;;;Податок на прибуток банківських організацій, включаючи філіали аналогічних організацій, розташованих на території України  
11020700;;;;Податок на прибуток страхових організацій, включаючи філіали аналогічних організацій, розташованих на території України  
11020900;;;;Податок на прибуток організацій і підприємств споживчої кооперації, кооперативів та громадських об'єднань  
11021000;;;;Податок на прибуток приватних підприємств  
11021100;Інші платники податку на прибуток;;;Інші платники податку на прибуток  
11021300;;;;Реструктурована сума заборгованості податку на прибуток підприємств і організацій  
11021400;;;;Надходження від підприємств податку на прибуток, одержаного від виконання інноваційних проектів 
11021500;;;;Податок на прибуток, одержаний за рахунок знижувального коефіцієнта 0,8 до норм амортизації  
11021600;;;;Податок на прибуток фінансових установ, включаючи філіали аналогічних організацій, розташованих на території України, за винятком страхових організацій  
11021900;;;;"Податкова заборгованість з податку на прибуток підприємств (крім підприємств комунальної власності), додаткові податкові зобов'язання з цього податку, розстрочені податкові зобов'язання НАК ""Нафтогаз України"" та її підприємств з податку на прибуток (у тому числі відсотки за користування податковим кредитом), що спрямовуються на розрахунки з погашення заборгованості з різниці в тарифах на теплову енергію, послуги з водопостачання та водовідведення, що вироблялися, транспортувалися та постачалися населенню, яка виникла у зв'язку з невідповідністю фактичної вартості теплової енергії, послуг з водопостачання та водовідведення тарифам, що затверджувалися або погоджувалися відповідними органами державної влади чи органами місцевого самоврядування  "
11022100;;;;"Податкова заборгованість з податку на прибуток підприємств (крім підприємств комунальної власності), додаткові податкові зобов'язання з цього податку, розстрочені податкові зобов'язання НАК ""Нафтогаз України"" та її підприємств з податку на прибуток (у тому числі відсотки за користування податковим кредитом), що спрямовуються на субвенцію з державного бюджету місцевим бюджетам на надання пільг та житлових субсидій населенню на оплату електроенергії, природного газу, послуг тепло-, водопостачання і водовідведення, квартирної плати, вивезення побутового сміття та рідких нечистот  "
